student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1000,0.8571428571428572,Female,0.0,0.16666666666666666,0.20370370370370372,No,0.6590909090909092,0.7058823529411764,Fair,1.0,Master,Average,0.7777777777777777,Yes,0.4632352941176472
S1001,0.4285714285714284,Female,0.8313253012048192,0.3888888888888889,0.4259259259259259,No,0.9386363636363637,0.20588235294117635,Good,1.0,High School,Average,0.7777777777777777,No,1.0
S1002,0.5714285714285716,Male,0.16867469879518068,0.4305555555555556,0.24074074074074073,No,0.8818181818181816,0.7058823529411764,Poor,0.16666666666666666,High School,Poor,0.0,No,0.1948529411764706
S1003,0.8571428571428572,Female,0.12048192771084336,0.5416666666666666,0.18518518518518517,No,0.34090909090909105,0.8823529411764703,Poor,0.6666666666666666,Master,Good,0.0,Yes,0.10294117647058829
S1004,0.2857142857142856,Female,0.6024096385542168,0.6111111111111112,0.09259259259259259,No,0.7931818181818182,0.25000000000000006,Fair,0.5,Master,Good,0.0,No,0.5882352941176473
S1005,1.0,Male,0.8674698795180722,0.18055555555555558,0.0,No,0.6113636363636366,0.6176470588235294,Fair,0.16666666666666666,Master,Average,0.3333333333333333,No,1.0
S1006,0.5714285714285716,Female,0.6746987951807227,0.20833333333333334,0.25925925925925924,Yes,0.6772727272727272,0.4852941176470588,Good,0.3333333333333333,Master,Poor,0.3333333333333333,No,0.8750000000000001
S1007,0.5714285714285716,Female,0.5180722891566264,0.1388888888888889,0.37037037037037035,Yes,0.4931818181818184,0.20588235294117635,Fair,0.0,Bachelor,Average,0.7777777777777777,No,0.6642156862745099
S1008,0.8571428571428572,Female,0.5301204819277108,0.3055555555555556,0.31481481481481477,No,1.0000000000000002,0.5735294117647058,Good,0.5,Bachelor,Good,0.0,No,0.7414215686274512
S1009,0.1428571428571428,Female,0.5783132530120481,0.4305555555555556,0.24074074074074073,No,0.8954545454545457,0.6323529411764706,Good,0.8333333333333333,Bachelor,Good,1.0,Yes,1.0
S1011,0.8571428571428572,Male,0.4698795180722891,0.3333333333333333,0.4629629629629629,No,0.3568181818181819,0.6911764705882353,Fair,0.3333333333333333,Bachelor,Average,0.0,No,0.6862745098039218
S1012,0.2857142857142856,Female,0.4457831325301205,0.2916666666666667,0.07407407407407407,Yes,0.5704545454545453,0.19117647058823523,Fair,0.16666666666666666,Bachelor,Good,0.8888888888888888,No,0.7169117647058826
